SampleID,6300A1,6300A2,6302A1,6302A2,6303A1,6303A2,6304A1,6304A2,6305A1,6305A2,6306A1,6306A2,6308A1,6308A2,6309A1,6309A2,6310A1,6310A2,6311A1,6311A2,6312A1,6312A2,6316A2,6318A1,6318A2,6319A1,6320A1,6321A2,6322A1,6322A2,6324A1,6324A2,6326A1,6327A1,6327A2,6328A1,6328A2,6329A1,6329A2,6330A2,6331A1,6331A2,6332A1,6332A2,6333A2,6334A1,6334A2,6335A1,6335A2,6336A1,6336A2,6337A1,6337A2,6338A1,6338A2,6339A1,6342A1,6342A2,6345A1,6345A2,6346A1,6346A2,6347A2,6348A1,6348A2,6349A1,6349A2,6350A1,6350A2,6351A1,6351A2,6352A1,6352A2,6354A1,6355A1,6355A2,6356A1,6357A1,6357A2,6359A1,6359A2,6360A1,6360A2,6361A1,6361A2,6362A1,6362A2,6365A1,6366A1,6366A2,6367A1,6367A2,6368A1,6368A2,6369A1,6369A2,6372A2,6377A1,6377A2,6378A1,6378A2,6379A1,6379A2,6380A1,6380A2,6382A1,6382A2,6383A1,6383A2,6384A1,6384A2,6385A1,6385A2,6386A1,6386A2,6387A2,6391A1,6391A2,6392A1,6392A2,6394A2,6397A1,6397A2,6398A1,6398A2,6399A1,6399A2,6400A1,6400A2,6404A1,6404A2,6407A1,6407A2,6408A1,6412A1,6412A2,6413A1,6415A1,6415A2,6419A1,6419A2,6421A1,6422A1,6422A2,6424A2,6426A1,6426A2,6427A1,6427A2,6428A1,6428A2,6429A1,6429A2,6430A1,6432A1,6432A2
ASV3_Streptococcus,0.00E+00,0.00E+00,3.19E+05,2.15E+08,1.19E+07,4.79E+07,1.53E+07,1.81E+08,7.14E+07,1.54E+09,7.97E+06,1.32E+08,3.77E+07,6.39E+08,2.87E+08,2.91E+08,3.29E+08,1.68E+07,1.46E+08,5.64E+07,4.86E+07,1.78E+07,2.24E+07,1.07E+07,1.51E+08,8.47E+07,2.23E+06,1.37E+07,1.28E+07,4.19E+05,1.33E+08,3.11E+08,1.05E+08,4.75E+06,7.81E+06,3.65E+06,2.57E+06,6.40E+08,2.48E+07,2.41E+06,8.35E+07,3.98E+07,8.61E+07,4.19E+07,2.76E+07,9.21E+07,1.93E+08,3.56E+05,9.11E+07,2.15E+07,5.72E+05,3.67E+04,1.41E+06,1.68E+08,1.42E+08,8.80E+07,1.23E+08,1.09E+08,3.11E+07,1.90E+07,7.09E+05,1.92E+07,6.58E+07,2.74E+08,4.19E+07,1.11E+08,1.02E+08,2.63E+06,3.91E+06,5.58E+06,1.05E+07,2.26E+08,2.29E+07,9.71E+07,1.59E+08,6.68E+06,2.60E+06,3.88E+06,2.38E+06,1.93E+07,2.03E+08,2.90E+07,5.99E+07,3.79E+08,2.05E+08,9.05E+06,5.20E+08,2.52E+08,4.27E+06,2.69E+06,8.41E+07,5.19E+07,5.69E+07,7.55E+07,6.81E+07,1.92E+07,3.21E+06,3.60E+07,8.59E+08,5.46E+07,1.38E+08,8.51E+07,6.79E+06,1.46E+07,4.55E+06,2.17E+07,7.28E+07,1.63E+08,2.07E+07,9.42E+07,5.75E+05,1.32E+08,1.55E+06,0.00E+00,1.13E+07,4.32E+06,1.32E+07,6.62E+07,3.09E+06,5.78E+06,5.40E+07,3.99E+07,5.52E+07,1.52E+05,1.45E+06,2.53E+07,3.19E+06,1.06E+07,2.66E+06,3.40E+06,5.58E+06,4.45E+07,5.44E+06,2.55E+07,3.33E+06,4.87E+05,1.26E+08,2.37E+08,7.26E+07,9.37E+07,3.27E+07,3.09E+07,2.56E+07,6.07E+07,8.85E+03,6.52E+06,0.00E+00,6.52E+07,3.41E+07,3.29E+06,9.82E+04,1.42E+07,3.12E+06,6.98E+06,2.17E+07,1.11E+07
ASV4_Pseudomonas,7.23E+07,3.54E+09,2.36E+04,4.13E+05,2.12E+05,3.71E+05,4.25E+05,0.00E+00,6.96E+05,0.00E+00,1.50E+04,0.00E+00,0.00E+00,1.08E+06,0.00E+00,4.70E+05,0.00E+00,0.00E+00,2.60E+05,6.52E+05,3.01E+09,0.00E+00,0.00E+00,2.30E+05,6.74E+05,0.00E+00,3.01E+04,0.00E+00,1.76E+05,2.00E+05,1.76E+06,4.52E+05,1.02E+05,1.73E+05,6.88E+05,7.38E+04,0.00E+00,1.14E+06,0.00E+00,1.02E+04,1.34E+05,2.05E+06,2.79E+05,0.00E+00,0.00E+00,1.51E+05,6.51E+05,1.31E+04,3.30E+06,1.65E+05,0.00E+00,6.79E+03,4.80E+04,5.99E+05,0.00E+00,7.27E+05,4.18E+05,0.00E+00,1.16E+06,5.45E+05,0.00E+00,3.40E+06,6.47E+04,0.00E+00,1.30E+05,0.00E+00,1.45E+06,0.00E+00,1.28E+06,0.00E+00,0.00E+00,0.00E+00,4.59E+05,3.78E+05,2.88E+05,2.01E+05,5.51E+03,1.21E+04,0.00E+00,4.17E+05,1.68E+05,1.94E+05,0.00E+00,1.53E+05,2.31E+06,0.00E+00,1.15E+06,3.61E+05,0.00E+00,3.77E+05,1.33E+06,7.59E+05,1.41E+06,1.22E+06,2.24E+05,2.01E+05,1.93E+04,3.76E+05,0.00E+00,2.64E+06,9.17E+05,7.47E+05,0.00E+00,6.21E+05,2.80E+04,0.00E+00,0.00E+00,2.26E+06,0.00E+00,3.80E+05,3.05E+05,3.44E+05,1.10E+04,3.53E+09,2.29E+06,0.00E+00,0.00E+00,0.00E+00,3.50E+04,5.07E+04,2.49E+05,1.77E+05,5.40E+05,2.86E+07,1.52E+04,0.00E+00,0.00E+00,6.84E+05,7.77E+04,1.15E+06,7.50E+06,6.06E+05,7.36E+05,7.47E+05,1.61E+05,5.75E+04,5.06E+05,8.38E+05,2.21E+05,4.57E+05,5.31E+05,3.74E+05,7.73E+05,6.78E+05,2.57E+05,2.75E+04,2.19E+08,8.18E+05,2.45E+05,5.27E+05,5.72E+04,8.51E+05,9.86E+04,1.59E+04,1.49E+05,0.00E+00
ASV5_Streptococcus,0.00E+00,1.72E+07,0.00E+00,8.40E+07,1.56E+07,4.04E+07,7.53E+06,2.00E+07,6.17E+07,5.00E+08,1.59E+06,8.53E+06,2.45E+07,6.24E+08,1.15E+08,4.54E+07,0.00E+00,0.00E+00,1.70E+07,5.02E+07,0.00E+00,6.11E+05,1.02E+06,1.19E+07,9.56E+07,7.48E+06,1.39E+05,0.00E+00,6.61E+05,5.95E+04,5.34E+06,8.29E+06,5.45E+06,3.80E+05,3.87E+06,4.29E+05,3.46E+05,3.80E+08,8.44E+06,1.40E+05,4.05E+07,4.19E+06,1.03E+08,8.08E+07,0.00E+00,1.85E+07,9.06E+07,1.12E+04,1.18E+07,1.80E+05,5.30E+04,2.62E+03,6.14E+04,1.13E+08,4.43E+07,0.00E+00,0.00E+00,1.83E+06,0.00E+00,0.00E+00,0.00E+00,8.78E+05,1.84E+07,8.11E+06,4.01E+06,1.79E+08,1.39E+07,1.44E+05,3.99E+05,6.28E+05,0.00E+00,2.74E+08,4.42E+06,5.02E+07,0.00E+00,0.00E+00,1.54E+06,1.00E+06,1.88E+05,5.11E+07,3.98E+07,2.59E+06,1.11E+07,0.00E+00,2.56E+06,6.37E+05,1.33E+07,0.00E+00,0.00E+00,0.00E+00,2.42E+07,3.51E+07,4.79E+06,2.75E+07,9.25E+06,9.35E+05,1.43E+05,7.57E+06,4.12E+08,3.57E+07,1.10E+08,3.96E+07,2.20E+06,1.13E+05,3.93E+05,1.82E+07,2.36E+07,1.39E+06,1.78E+06,0.00E+00,3.37E+04,1.48E+07,3.03E+04,0.00E+00,2.17E+06,1.89E+05,3.71E+05,5.15E+07,9.45E+04,4.96E+05,3.48E+07,1.61E+07,4.07E+06,0.00E+00,4.55E+04,1.23E+07,2.39E+06,1.43E+07,3.02E+05,4.79E+04,1.94E+06,6.03E+06,3.34E+06,3.13E+06,1.17E+05,2.48E+04,1.43E+07,0.00E+00,0.00E+00,1.26E+06,3.09E+06,1.38E+07,2.74E+07,5.53E+07,0.00E+00,2.23E+05,3.27E+07,1.21E+07,1.00E+08,6.86E+05,3.83E+04,3.77E+05,2.29E+05,2.22E+06,0.00E+00,3.19E+05
ASV6_Gemella,0.00E+00,0.00E+00,2.62E+04,1.39E+07,4.44E+06,8.27E+06,1.25E+07,2.43E+06,9.13E+07,1.07E+09,2.50E+06,5.01E+06,3.79E+06,4.95E+07,5.30E+07,2.90E+07,2.46E+08,7.25E+06,6.03E+06,4.32E+06,0.00E+00,2.92E+06,3.91E+06,6.03E+06,2.38E+06,6.18E+05,7.16E+05,3.47E+06,2.62E+06,1.17E+05,4.29E+07,2.40E+08,9.31E+06,1.41E+06,1.94E+06,1.07E+06,1.13E+06,6.44E+07,4.00E+06,5.33E+05,7.85E+07,1.33E+07,8.07E+06,7.79E+06,8.04E+06,2.53E+07,8.48E+07,1.01E+05,1.81E+06,3.83E+06,2.44E+05,3.77E+03,4.43E+05,2.18E+07,1.20E+07,7.89E+07,1.37E+07,6.41E+07,6.01E+06,4.66E+06,3.87E+05,2.91E+06,7.51E+06,5.54E+07,9.40E+06,6.84E+07,2.22E+07,4.15E+05,1.78E+06,1.26E+06,1.46E+06,4.56E+07,4.60E+06,1.33E+07,4.71E+07,1.68E+06,9.82E+05,8.06E+05,6.11E+05,1.94E+07,4.06E+06,6.52E+06,1.64E+07,1.60E+08,1.33E+08,1.83E+06,2.15E+07,4.51E+07,1.19E+06,2.55E+06,6.00E+07,3.93E+07,1.69E+07,1.43E+07,3.58E+07,1.12E+07,5.74E+05,2.01E+07,2.33E+08,3.45E+07,7.71E+07,1.59E+07,8.64E+05,2.21E+07,1.54E+06,9.65E+06,1.39E+07,1.58E+08,7.00E+06,2.71E+07,2.21E+05,8.87E+07,5.43E+05,0.00E+00,2.91E+06,1.47E+06,1.61E+06,3.64E+06,6.71E+05,1.63E+06,2.07E+07,2.11E+07,2.70E+07,0.00E+00,3.85E+05,1.88E+06,6.28E+05,2.89E+06,9.90E+05,2.01E+06,4.33E+06,1.81E+07,2.08E+06,9.59E+06,2.73E+05,1.06E+05,7.17E+07,2.38E+08,1.28E+07,2.84E+07,3.94E+07,3.00E+06,2.19E+07,1.50E+07,7.03E+02,2.24E+06,0.00E+00,1.74E+07,1.87E+07,1.60E+06,1.15E+05,5.43E+06,5.62E+05,9.56E+05,1.62E+06,1.50E+06
ASV7_Streptococcus,0.00E+00,1.19E+07,0.00E+00,0.00E+00,1.48E+07,2.55E+07,3.56E+06,0.00E+00,1.03E+08,1.32E+09,1.37E+06,1.84E+07,1.02E+07,1.82E+08,3.59E+07,2.39E+07,1.32E+08,1.09E+07,8.32E+06,1.65E+07,0.00E+00,0.00E+00,1.35E+06,4.53E+06,1.22E+07,4.82E+06,2.02E+05,1.72E+06,3.13E+06,8.45E+04,4.70E+07,6.38E+06,1.14E+07,3.30E+05,4.00E+06,3.86E+05,4.41E+05,1.60E+08,1.20E+07,3.33E+05,1.92E+07,2.21E+07,3.31E+07,3.39E+07,0.00E+00,2.58E+07,3.67E+07,7.99E+04,5.73E+07,0.00E+00,1.21E+05,3.03E+03,1.22E+05,2.57E+07,5.24E+07,2.74E+07,2.48E+06,1.68E+07,1.92E+06,1.96E+07,3.88E+04,2.71E+06,6.15E+06,1.30E+07,5.64E+06,7.28E+07,1.29E+07,1.86E+05,1.64E+05,5.66E+05,2.06E+06,3.10E+07,1.94E+06,2.55E+07,2.27E+07,0.00E+00,6.14E+05,5.08E+05,2.92E+05,1.90E+07,1.91E+07,3.99E+06,1.67E+07,3.06E+07,1.57E+07,0.00E+00,2.12E+07,1.78E+08,0.00E+00,0.00E+00,1.52E+07,1.71E+07,1.77E+07,1.15E+07,6.85E+06,3.61E+06,5.55E+05,1.29E+07,2.59E+08,4.19E+07,9.31E+07,1.52E+07,1.52E+06,5.48E+06,2.10E+06,1.11E+07,2.67E+07,4.19E+07,2.84E+06,1.24E+07,0.00E+00,4.48E+07,2.90E+05,0.00E+00,1.18E+06,1.04E+06,8.61E+05,1.21E+07,3.09E+05,1.80E+06,1.24E+07,8.38E+06,5.01E+06,0.00E+00,0.00E+00,8.71E+06,1.40E+06,4.93E+06,2.80E+05,6.96E+05,4.60E+05,7.83E+06,6.54E+06,8.59E+06,4.27E+05,0.00E+00,3.88E+07,1.71E+07,1.45E+07,2.36E+07,1.74E+07,1.84E+07,1.40E+07,2.96E+07,0.00E+00,4.84E+05,0.00E+00,5.32E+06,4.77E+07,0.00E+00,4.04E+04,4.31E+05,3.49E+05,9.87E+05,0.00E+00,1.23E+06
ASV8_Neisseria,0.00E+00,2.39E+06,2.44E+04,4.34E+05,4.63E+04,1.93E+06,2.52E+06,3.81E+06,8.17E+06,2.85E+07,6.31E+06,2.41E+05,1.41E+06,6.30E+05,1.28E+08,7.11E+06,2.08E+06,1.70E+06,2.58E+06,0.00E+00,0.00E+00,2.36E+06,5.71E+06,6.29E+04,0.00E+00,5.50E+05,6.94E+04,3.36E+05,1.01E+06,2.48E+05,1.22E+07,2.54E+07,2.23E+06,1.16E+05,0.00E+00,1.71E+06,6.61E+06,0.00E+00,1.49E+07,1.65E+05,3.53E+05,1.32E+07,4.94E+05,1.64E+06,0.00E+00,5.30E+06,1.87E+07,1.34E+04,0.00E+00,7.27E+05,4.96E+05,2.19E+02,1.80E+05,1.12E+06,3.98E+06,6.13E+07,4.81E+06,5.56E+06,1.30E+04,0.00E+00,4.02E+05,8.57E+04,1.75E+06,2.34E+07,3.71E+06,7.71E+05,0.00E+00,8.20E+04,7.77E+05,5.05E+06,4.56E+05,1.23E+06,2.78E+06,1.95E+06,2.26E+07,2.42E+05,4.47E+06,5.23E+05,1.18E+05,3.79E+05,0.00E+00,0.00E+00,0.00E+00,2.56E+07,3.40E+07,1.64E+07,0.00E+00,8.02E+05,4.24E+05,1.10E+06,0.00E+00,0.00E+00,0.00E+00,2.85E+06,8.18E+07,5.43E+06,4.67E+04,1.54E+06,0.00E+00,1.98E+06,2.09E+07,0.00E+00,8.27E+05,2.50E+06,1.81E+06,3.72E+05,7.48E+06,2.11E+05,2.69E+04,0.00E+00,1.13E+05,2.89E+06,2.94E+05,0.00E+00,0.00E+00,7.19E+05,2.62E+06,2.06E+06,2.09E+06,4.11E+05,4.25E+06,2.30E+06,0.00E+00,0.00E+00,1.80E+05,0.00E+00,0.00E+00,7.00E+05,1.89E+05,2.98E+06,3.04E+06,8.23E+04,1.94E+04,0.00E+00,2.10E+06,2.24E+05,1.34E+07,4.97E+06,6.07E+05,2.17E+06,6.16E+06,1.18E+05,9.73E+04,0.00E+00,5.60E+02,9.21E+05,0.00E+00,0.00E+00,9.64E+05,2.67E+05,1.84E+05,2.00E+05,0.00E+00,1.15E+06,4.25E+06,8.60E+04
ASV9_Streptococcus,0.00E+00,0.00E+00,0.00E+00,1.79E+07,7.11E+06,6.14E+06,1.76E+06,1.42E+07,9.09E+07,1.02E+09,1.71E+06,0.00E+00,0.00E+00,0.00E+00,2.67E+07,0.00E+00,8.81E+07,4.30E+06,9.58E+06,0.00E+00,0.00E+00,0.00E+00,1.77E+06,0.00E+00,0.00E+00,8.75E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.77E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.03E+05,0.00E+00,0.00E+00,5.17E+06,0.00E+00,9.41E+06,1.10E+07,0.00E+00,8.96E+06,0.00E+00,3.35E+07,2.48E+07,0.00E+00,2.81E+07,1.68E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.94E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.11E+06,6.39E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.31E+07,1.91E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.81E+06,4.09E+07,4.58E+05,5.80E+05,0.00E+00,0.00E+00,0.00E+00,1.31E+07,2.20E+06,5.78E+06,6.03E+07,0.00E+00,0.00E+00,0.00E+00,4.78E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.78E+06,6.55E+06,1.16E+07,4.85E+06,0.00E+00,1.05E+07,3.06E+08,1.32E+07,0.00E+00,1.13E+07,0.00E+00,4.63E+06,1.33E+06,4.13E+06,1.37E+07,1.55E+07,0.00E+00,1.94E+07,0.00E+00,2.56E+07,0.00E+00,0.00E+00,0.00E+00,4.96E+05,0.00E+00,1.43E+07,0.00E+00,0.00E+00,7.64E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.78E+06,0.00E+00,0.00E+00,4.79E+07,7.40E+07,6.42E+06,2.36E+07,0.00E+00,8.25E+06,9.17E+06,5.98E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.83E+06
ASV10_Peptostreptococcus stomatis,0.00E+00,0.00E+00,7.35E+02,8.56E+06,8.68E+05,3.69E+06,4.70E+06,1.99E+06,2.25E+07,5.27E+08,7.77E+05,1.16E+06,4.28E+05,1.35E+07,1.07E+07,3.66E+07,4.36E+07,1.32E+06,3.74E+06,2.84E+06,0.00E+00,2.51E+06,1.26E+06,2.11E+06,4.00E+05,3.32E+05,3.41E+04,2.36E+05,7.12E+05,0.00E+00,3.45E+07,3.72E+06,2.18E+06,8.61E+04,5.22E+05,4.01E+05,3.09E+05,1.86E+07,1.32E+06,9.17E+04,1.86E+06,5.36E+04,2.48E+06,6.30E+06,2.84E+06,6.66E+06,2.45E+07,1.66E+04,0.00E+00,1.12E+06,5.86E+04,2.94E+02,2.68E+05,3.70E+06,1.15E+06,4.97E+07,9.02E+06,1.98E+07,4.11E+06,4.56E+06,1.69E+04,3.85E+05,6.91E+06,3.26E+07,1.06E+06,8.99E+07,9.39E+06,5.51E+04,2.07E+05,1.42E+05,2.50E+05,1.92E+07,3.66E+05,9.28E+06,5.67E+06,1.43E+05,8.54E+04,3.07E+05,3.47E+05,9.35E+06,5.05E+05,1.30E+06,1.19E+07,1.05E+07,1.07E+08,1.06E+06,0.00E+00,4.57E+06,9.76E+04,2.38E+05,3.07E+07,1.85E+07,4.45E+06,1.17E+06,3.38E+06,2.17E+05,9.46E+04,4.59E+07,1.11E+08,1.77E+07,1.07E+07,5.92E+06,2.45E+05,2.18E+06,2.11E+05,2.97E+06,3.16E+06,3.00E+07,2.63E+07,2.12E+06,2.15E+04,1.21E+07,2.06E+05,0.00E+00,0.00E+00,1.42E+05,7.18E+05,8.35E+05,1.67E+05,6.46E+05,7.97E+06,1.17E+07,1.35E+07,0.00E+00,8.78E+04,2.68E+05,2.38E+04,9.66E+05,1.67E+05,9.93E+05,1.34E+06,5.37E+06,3.24E+06,3.07E+06,3.44E+05,5.30E+04,2.42E+07,5.62E+07,8.69E+06,9.15E+06,3.51E+07,9.90E+06,1.88E+07,1.34E+07,7.81E+01,2.31E+05,0.00E+00,2.77E+07,1.10E+07,4.02E+05,1.87E+04,1.11E+06,2.84E+05,3.47E+05,1.92E+05,2.48E+04
ASV11_Granulicatella,0.00E+00,0.00E+00,3.47E+03,1.33E+07,2.00E+06,5.39E+06,3.08E+06,8.32E+06,7.95E+07,2.12E+08,5.13E+05,0.00E+00,2.74E+06,0.00E+00,2.19E+07,2.40E+07,0.00E+00,1.71E+06,4.12E+06,5.47E+06,0.00E+00,0.00E+00,1.10E+06,1.49E+06,0.00E+00,2.23E+06,3.87E+04,0.00E+00,5.77E+05,0.00E+00,1.01E+07,0.00E+00,4.98E+06,0.00E+00,4.21E+05,6.35E+05,0.00E+00,3.93E+07,2.11E+06,1.21E+05,4.99E+06,9.54E+06,4.70E+06,6.82E+06,0.00E+00,1.30E+07,2.24E+07,4.30E+04,7.33E+06,1.83E+06,4.67E+04,1.17E+03,8.69E+04,5.37E+06,9.25E+06,7.81E+06,0.00E+00,7.69E+06,2.70E+05,2.01E+06,8.29E+04,3.95E+05,3.35E+06,1.26E+07,0.00E+00,1.48E+07,5.69E+06,7.95E+04,2.83E+05,0.00E+00,0.00E+00,2.12E+07,9.95E+05,9.13E+06,0.00E+00,1.64E+05,3.64E+05,2.24E+05,1.31E+05,5.49E+06,4.24E+06,2.55E+06,8.18E+06,3.14E+07,3.42E+07,0.00E+00,1.79E+07,2.84E+07,5.86E+04,0.00E+00,1.01E+07,1.53E+07,0.00E+00,5.91E+06,9.48E+06,2.51E+06,1.25E+05,5.15E+06,1.04E+08,1.35E+07,1.62E+07,0.00E+00,0.00E+00,2.47E+06,5.16E+05,6.15E+06,4.08E+06,3.43E+07,1.27E+06,8.21E+06,1.34E+04,1.14E+07,0.00E+00,0.00E+00,3.35E+05,2.51E+05,2.86E+05,0.00E+00,1.73E+05,2.55E+05,6.51E+06,2.37E+06,2.56E+06,0.00E+00,0.00E+00,0.00E+00,1.65E+05,0.00E+00,1.50E+05,0.00E+00,3.56E+05,2.72E+06,7.05E+05,2.60E+06,5.75E+05,0.00E+00,2.94E+07,4.89E+07,6.36E+06,0.00E+00,1.88E+06,1.11E+07,1.17E+07,3.83E+06,0.00E+00,1.48E+05,0.00E+00,4.29E+06,1.36E+07,0.00E+00,2.09E+04,1.35E+06,2.19E+05,0.00E+00,0.00E+00,5.50E+05
ASV12_Prevotella melaninogenica,0.00E+00,0.00E+00,1.46E+04,0.00E+00,0.00E+00,3.61E+05,1.67E+06,5.52E+06,7.27E+05,0.00E+00,1.89E+06,2.64E+05,2.81E+06,6.66E+06,1.94E+06,0.00E+00,0.00E+00,5.59E+05,6.14E+05,0.00E+00,0.00E+00,2.41E+06,3.37E+06,1.20E+05,1.96E+06,1.49E+05,3.38E+05,1.02E+07,1.90E+05,8.74E+04,0.00E+00,2.29E+07,4.05E+06,8.96E+04,0.00E+00,8.71E+05,8.20E+05,1.66E+06,1.62E+07,9.59E+05,0.00E+00,0.00E+00,6.59E+05,8.68E+05,7.59E+06,5.85E+06,4.92E+06,1.32E+05,0.00E+00,0.00E+00,2.75E+05,1.25E+03,2.09E+05,0.00E+00,1.69E+06,0.00E+00,0.00E+00,1.25E+06,0.00E+00,0.00E+00,1.71E+05,1.40E+06,1.79E+07,2.98E+06,2.20E+06,0.00E+00,0.00E+00,2.04E+05,7.95E+05,1.30E+06,1.43E+06,0.00E+00,1.05E+06,5.12E+06,8.01E+05,7.26E+04,8.98E+05,3.61E+06,2.01E+06,0.00E+00,0.00E+00,8.74E+05,1.85E+06,0.00E+00,0.00E+00,6.46E+06,3.77E+06,0.00E+00,0.00E+00,2.60E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.03E+05,0.00E+00,0.00E+00,0.00E+00,1.56E+07,5.43E+05,2.62E+06,3.67E+05,2.40E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.53E+06,1.42E+06,0.00E+00,6.53E+05,2.94E+06,5.33E+06,4.12E+06,7.79E+05,6.15E+06,3.64E+05,2.48E+06,2.62E+05,0.00E+00,0.00E+00,3.67E+06,1.35E+06,3.88E+05,3.94E+05,9.12E+05,5.05E+05,0.00E+00,0.00E+00,6.32E+04,1.33E+06,4.36E+05,1.04E+06,0.00E+00,0.00E+00,9.42E+05,4.70E+05,5.64E+05,0.00E+00,0.00E+00,0.00E+00,2.71E+06,1.17E+05,0.00E+00,0.00E+00,1.04E+06,2.93E+04,6.12E+05,8.54E+05,1.95E+06,0.00E+00,4.52E+05
